epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.468,3.00773,5.084,2.37348,0,0,0,0,2.66995,5.12574,2.12616,2.224e-05,2.224e-05,2.224e-05
2,228.502,2.9475,5.02438,2.32148,0,0,0,0,2.62872,5.13031,2.16671,4.95446e-05,4.95446e-05,4.95446e-05
3,332.583,2.89924,4.96713,2.25087,0,0,0,0,2.61034,5.15798,2.26199,7.62988e-05,7.62988e-05,7.62988e-05
4,456.012,2.71031,4.90116,2.14021,0,0,0,0,2.55311,5.17019,2.27022,0.000102502,0.000102502,0.000102502
5,586.664,2.69332,4.85703,2.1108,0,0,0,0,2.56856,5.11793,2.19194,0.000128156,0.000128156,0.000128156
6,700.906,2.63365,4.84983,2.05516,0,0,0,0,2.55757,5.06874,2.09351,0.000153259,0.000153259,0.000153259
7,826.586,2.54286,4.69625,1.93489,0.00477,0.01385,0.0046,0.00148,2.53418,4.92548,1.84474,0.000177811,0.000177811,0.000177811
8,940.628,2.53747,4.65168,1.80583,0.00245,0.02462,0.00552,0.0014,2.5242,4.86183,1.71374,0.000201813,0.000201813,0.000201813
9,1049.21,2.39271,4.446,1.77009,0.00134,0.06098,0.00655,0.00198,2.3582,4.72881,1.58744,0.000225265,0.000225265,0.000225265
10,1139.51,2.39389,4.48232,1.78056,0.04055,0.06898,0.02955,0.01776,2.2989,4.67784,1.58247,0.000248166,0.000248166,0.000248166
11,1216.76,2.34377,4.35281,1.767,0.01663,0.07857,0.01436,0.0063,2.28995,4.62652,1.57491,0.000270516,0.000270516,0.000270516
12,1296.42,2.37913,4.28836,1.71576,0.93191,0.02308,0.01423,0.00431,2.25655,4.54473,1.56869,0.000292316,0.000292316,0.000292316
13,1372.97,2.25434,4.15413,1.65329,0.9418,0.01385,0.01553,0.00468,2.20451,4.49053,1.5517,0.000313566,0.000313566,0.000313566
14,1450.3,2.24078,4.09063,1.64191,0.93811,0.02,0.01397,0.0052,2.18506,4.39659,1.55023,0.000334266,0.000334266,0.000334266
15,1526.96,2.22572,4.08893,1.6313,0.00884,0.14081,0.01564,0.00522,2.17991,4.31682,1.54848,0.000354414,0.000354414,0.000354414
16,1603.01,2.17681,3.9549,1.59974,0.00809,0.14152,0.0142,0.00508,2.1905,4.26402,1.54093,0.000374013,0.000374013,0.000374013
17,1679.63,2.18548,3.88562,1.58947,0.00711,0.14789,0.01241,0.00539,2.21329,4.18584,1.57677,0.000393061,0.000393061,0.000393061
18,1756.04,2.19107,3.81556,1.56217,0.00648,0.13855,0.01147,0.005,2.24478,4.14002,1.61096,0.000411558,0.000411558,0.000411558
19,1833.99,2.1531,3.77341,1.54388,0.02929,0.14971,0.02932,0.01233,2.25245,4.12308,1.60984,0.000429506,0.000429506,0.000429506
20,1914.52,2.22777,3.70635,1.55296,0.04881,0.16711,0.04649,0.01831,2.25831,4.0943,1.60001,0.000446902,0.000446902,0.000446902
21,1994.2,2.18181,3.61804,1.52543,0.03447,0.13351,0.03861,0.01649,2.31178,4.14525,1.64211,0.000445912,0.000445912,0.000445912
22,2072.56,2.15331,3.58543,1.55195,0.04036,0.11321,0.03604,0.01652,2.3571,4.237,1.66004,0.000440408,0.000440408,0.000440408
23,2150.55,2.11651,3.61779,1.54736,0.0182,0.06232,0.01683,0.00719,2.34856,4.2374,1.65836,0.000434903,0.000434903,0.000434903
24,2228.49,2.06555,3.36614,1.54802,0.10646,0.05302,0.01772,0.00598,2.29266,4.16557,1.69469,0.000429399,0.000429399,0.000429399
25,2306.75,2.04919,3.35357,1.55089,0.02988,0.06065,0.02173,0.00718,2.2771,4.16393,1.69243,0.000423894,0.000423894,0.000423894
26,2386.58,2.10623,3.42682,1.5576,0.51343,0.03201,0.01319,0.00651,2.25731,4.25144,1.68084,0.00041839,0.00041839,0.00041839
27,2466.64,2.1204,3.39281,1.51611,0.51609,0.02527,0.0108,0.00583,2.19886,4.27579,1.63928,0.000412886,0.000412886,0.000412886
28,2546.35,2.11126,3.26581,1.51534,0.29075,0.01457,0.01415,0.00768,2.18525,4.25107,1.64699,0.000407381,0.000407381,0.000407381
29,2625.34,2.04245,3.12045,1.50566,0.02536,0.04715,0.01791,0.00986,2.17781,4.26876,1.62114,0.000401877,0.000401877,0.000401877
30,2705.28,2.04848,3.09461,1.48234,0.02269,0.05948,0.01799,0.00799,2.15398,4.14808,1.59953,0.000396372,0.000396372,0.000396372
31,2785.99,2.01536,3.05007,1.45806,0.20103,0.08167,0.02711,0.01225,2.14464,3.96777,1.60172,0.000390868,0.000390868,0.000390868
32,2863.56,2.034,3.06813,1.47537,0.31744,0.12012,0.09357,0.0476,2.12235,3.63766,1.60731,0.000385364,0.000385364,0.000385364
33,2940,2.02608,2.93055,1.4664,0.31291,0.13,0.10656,0.05534,2.10932,3.45743,1.60138,0.000379859,0.000379859,0.000379859
34,3015.95,1.98857,2.88093,1.45182,0.31054,0.1406,0.0936,0.04541,2.09635,3.37466,1.5944,0.000374355,0.000374355,0.000374355
35,3093.5,2.04928,2.93415,1.46985,0.14994,0.17023,0.09138,0.04269,2.09174,3.33566,1.59326,0.00036885,0.00036885,0.00036885
36,3170.42,1.96877,2.95443,1.421,0.33572,0.09984,0.09264,0.04172,2.07366,3.25897,1.59327,0.000363346,0.000363346,0.000363346
37,3246.39,1.94313,2.84396,1.45191,0.42368,0.09497,0.09822,0.04463,2.04472,3.24037,1.58807,0.000357842,0.000357842,0.000357842
38,3321.84,1.98214,2.92451,1.44542,0.41541,0.08977,0.09882,0.04648,2.01889,3.21126,1.58243,0.000352337,0.000352337,0.000352337
39,3397.95,1.99787,2.82796,1.46554,0.52407,0.08325,0.09895,0.04517,2.00672,3.21204,1.57079,0.000346833,0.000346833,0.000346833
40,3474.85,1.92214,2.75459,1.4136,0.49395,0.09137,0.10334,0.04708,2.01153,3.22161,1.56576,0.000341328,0.000341328,0.000341328
41,3549.93,1.94096,2.77171,1.4565,0.42194,0.08972,0.09666,0.04598,2.02335,3.21751,1.57756,0.000335824,0.000335824,0.000335824
42,3626.21,1.91132,2.81185,1.4691,0.23062,0.22718,0.09916,0.04514,2.02868,3.20623,1.58644,0.00033032,0.00033032,0.00033032
43,3702.07,1.85035,2.70409,1.43696,0.24017,0.19165,0.1024,0.04647,2.03164,3.17306,1.57676,0.000324815,0.000324815,0.000324815
44,3778.05,1.90569,2.67443,1.41963,0.37454,0.10892,0.11016,0.04757,2.0245,3.19846,1.54512,0.000319311,0.000319311,0.000319311
45,3854.71,1.89803,2.70868,1.41335,0.16288,0.2443,0.11052,0.04831,2.02295,3.24547,1.52778,0.000313806,0.000313806,0.000313806
46,3934.96,1.89394,2.60961,1.40796,0.1932,0.27948,0.11597,0.05337,2.01175,3.23687,1.50967,0.000308302,0.000308302,0.000308302
47,4014.11,1.96411,2.73447,1.43724,0.19157,0.25791,0.12418,0.05589,2.01228,3.22287,1.51125,0.000302798,0.000302798,0.000302798
48,4090.58,1.86594,2.61773,1.40699,0.35782,0.13801,0.12819,0.06081,2.03741,3.1808,1.53196,0.000297293,0.000297293,0.000297293
49,4165.31,1.86551,2.61619,1.40976,0.3635,0.14823,0.12622,0.05912,2.02135,3.12719,1.52615,0.000291789,0.000291789,0.000291789
50,4241.26,1.86761,2.5924,1.39393,0.37081,0.14131,0.12729,0.05922,2.01703,3.11339,1.5304,0.000286284,0.000286284,0.000286284
51,4316.83,1.88904,2.60126,1.38618,0.36486,0.14261,0.12292,0.05803,2.01296,3.10413,1.52237,0.00028078,0.00028078,0.00028078
52,4392.72,1.84039,2.4956,1.39126,0.26694,0.19024,0.12555,0.06011,1.98658,3.09178,1.51064,0.000275276,0.000275276,0.000275276
53,4468.03,1.80785,2.50666,1.37321,0.22969,0.19059,0.12113,0.05686,1.99082,3.09177,1.52128,0.000269771,0.000269771,0.000269771
54,4543.29,1.79664,2.44255,1.39321,0.21428,0.18969,0.11738,0.05605,1.98504,3.08372,1.52971,0.000264267,0.000264267,0.000264267
55,4620.03,1.88581,2.58055,1.41712,0.21243,0.21754,0.12334,0.0551,1.98697,3.06133,1.53176,0.000258762,0.000258762,0.000258762
56,4695.11,1.82258,2.53691,1.39133,0.23254,0.19981,0.13025,0.05573,2.01303,3.04224,1.54561,0.000253258,0.000253258,0.000253258
57,4770.09,1.79222,2.47973,1.36937,0.21656,0.20813,0.13498,0.06147,2.01206,3.04245,1.54061,0.000247754,0.000247754,0.000247754
58,4845.24,1.74484,2.4372,1.33607,0.21414,0.21914,0.13425,0.06405,1.99267,3.03441,1.53295,0.000242249,0.000242249,0.000242249
